Sentence length,Vocabulary size,Representation dimensionality,Disentanglement,Noise ratio,Compositionality
8,22,64,1,0.01,1.0260267859827843
8,22,64,1,0.01,1.0261648109603148
8,22,64,1,0.01,1.025840334940703
8,22,64,1,0.01,1.0260030941434057
8,22,64,1,0.01,1.0258729072763364
8,22,64,1,0.01,1.0260589646752842
8,22,64,1,0.01,1.0259283083841573
8,22,64,1,0.01,1.0261748963558666
8,23,64,1,0.01,1.025406638334735
8,23,64,1,0.01,1.0254952990721544
8,23,64,1,0.01,1.0253245555239323
8,23,64,1,0.01,1.0251380532263492
8,23,64,1,0.01,1.0251885229570887
8,23,64,1,0.01,1.0256205975247705
8,23,64,1,0.01,1.0251243498568812
8,23,64,1,0.01,1.0250501207787646
8,23,64,1,0.01,1.0251375432132808
8,23,64,1,0.01,1.0254309411796876
8,24,64,1,0.01,1.024678857264704
8,24,64,1,0.01,1.024790270490364
8,24,64,1,0.01,1.0246811716848685
8,24,64,1,0.01,1.024377280875891
8,24,64,1,0.01,1.024523376433167
8,24,64,1,0.01,1.0247560023031654
8,24,64,1,0.01,1.0245368904995904
8,24,64,1,0.01,1.0245709232510083
8,24,64,1,0.01,1.0242037548239138
8,24,64,1,0.01,1.0248841835699054
8,25,64,1,0.01,1.0240919141343252
8,25,64,1,0.01,1.0240451545284457
8,25,64,1,0.01,1.024009961243588
8,25,64,1,0.01,1.0239710357239171
8,25,64,1,0.01,1.0238764119620256
8,25,64,1,0.01,1.0240119762509452
8,25,64,1,0.01,1.023882903785866
8,25,64,1,0.01,1.0240036558101973
8,25,64,1,0.01,1.024011430639958
8,25,64,1,0.01,1.023878615040951
8,26,64,1,0.01,1.0235193982630209
8,26,64,1,0.01,1.023482169207881
8,26,64,1,0.01,1.02350115562077
8,26,64,1,0.01,1.0232537475438848
8,26,64,1,0.01,1.023390462824284
8,26,64,1,0.01,1.0233926799694737
8,26,64,1,0.01,1.023275166114003
8,26,64,1,0.01,1.0233799805286998
8,26,64,1,0.01,1.0233334207021778
8,26,64,1,0.01,1.023378869615584
8,27,64,1,0.01,1.0226136088107765
8,27,64,1,0.01,1.022949494001196
8,27,64,1,0.01,1.0226465270664649
8,27,64,1,0.01,1.0226647398278492
8,27,64,1,0.01,1.0227606618165068
8,27,64,1,0.01,1.022843978722234
8,27,64,1,0.01,1.0224514686337378
8,27,64,1,0.01,1.0227436502999296
8,27,64,1,0.01,1.022812480781904
8,27,64,1,0.01,1.0230164563234454
8,28,64,1,0.01,1.0225130967239326
8,28,64,1,0.01,1.0224645480343038
8,28,64,1,0.01,1.0221439025136725
8,28,64,1,0.01,1.0220273750304436
8,28,64,1,0.01,1.0226735966470883
8,28,64,1,0.01,1.0223556747338551
8,28,64,1,0.01,1.022087489575894
8,28,64,1,0.01,1.022353749035295
8,28,64,1,0.01,1.0223157509248677
8,28,64,1,0.01,1.0223733150866303
8,29,64,1,0.01,1.0219203132655998
8,29,64,1,0.01,1.0218974573622424
8,29,64,1,0.01,1.0216847775756124
8,29,64,1,0.01,1.0217264952483553
8,29,64,1,0.01,1.0216614584230965
8,29,64,1,0.01,1.0219053647973735
8,29,64,1,0.01,1.0218258523548287
8,29,64,1,0.01,1.0218143883127329
8,29,64,1,0.01,1.021774954169201
8,29,64,1,0.01,1.0218918837889297
8,30,64,1,0.01,1.0212889472832218
8,30,64,1,0.01,1.0212160157642902
8,30,64,1,0.01,1.0212736649109624
8,30,64,1,0.01,1.02108741295297
8,30,64,1,0.01,1.021214987866996
8,30,64,1,0.01,1.0213153894185085
8,30,64,1,0.01,1.0211471437954298
8,30,64,1,0.01,1.0211768043851184
8,30,64,1,0.01,1.0211415336347585
8,30,64,1,0.01,1.021435186095614
8,31,64,1,0.01,1.0209492577569141
8,31,64,1,0.01,1.0210206812810891
8,31,64,1,0.01,1.0207418349915296
8,31,64,1,0.01,1.0207567012163463
8,31,64,1,0.01,1.020877962714586
8,31,64,1,0.01,1.0208550554038751
8,31,64,1,0.01,1.0207904139759714
8,31,64,1,0.01,1.021031366978029
8,31,64,1,0.01,1.0209053266308141
8,31,64,1,0.01,1.0208989697728215
8,32,64,1,0.01,1.0205942366350655
8,32,64,1,0.01,1.0201939940840539
8,32,64,1,0.01,1.0201581343060382
8,32,64,1,0.01,1.0203464467229237
8,32,64,1,0.01,1.0202086790769553
8,32,64,1,0.01,1.0203897954549508
8,32,64,1,0.01,1.0202141966101295
8,32,64,1,0.01,1.020120412300619
8,32,64,1,0.01,1.0201808034271012
8,32,64,1,0.01,1.020516311004333
8,33,64,1,0.01,1.0198964982257772
8,33,64,1,0.01,1.0199103502834717
8,33,64,1,0.01,1.0196947040216742
8,33,64,1,0.01,1.0198789476330652
8,33,64,1,0.01,1.0197864019900802
8,33,64,1,0.01,1.0201004399169316
8,33,64,1,0.01,1.0197422693356988
